https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1609452000000,2020-12-31 22:00:00,XRP/USDT,0.22447000,0.22863000,0.22069000,0.22380000,49025455.00000000,10976111.82687800,19740
1609448400000,2020-12-31 21:00:00,XRP/USDT,0.22109000,0.22700000,0.22099000,0.22448000,65416353.10000000,14674650.75995100,25513
1609444800000,2020-12-31 20:00:00,XRP/USDT,0.21911000,0.22495000,0.21911000,0.22109000,56171516.70000000,12500528.45331900,23212
1609441200000,2020-12-31 19:00:00,XRP/USDT,0.21821000,0.22292000,0.21791000,0.21910000,42667362.30000000,9399431.43488700,18113
1609437600000,2020-12-31 18:00:00,XRP/USDT,0.21820000,0.22000000,0.21610000,0.21825000,31019046.00000000,6763959.47755600,14385
1609434000000,2020-12-31 17:00:00,XRP/USDT,0.21630000,0.22121000,0.21486000,0.21814000,52648183.50000000,11492872.45045800,23170
1609430400000,2020-12-31 16:00:00,XRP/USDT,0.21539000,0.22248000,0.21377000,0.21631000,74766741.30000000,16259016.17005100,32179
1609426800000,2020-12-31 15:00:00,XRP/USDT,0.21379000,0.21990000,0.21328000,0.21538000,56735732.10000000,12268036.08758000,23594
1609423200000,2020-12-31 14:00:00,XRP/USDT,0.21459000,0.21598000,0.21001000,0.21388000,49841361.00000000,10622460.54170200,21921
1609419600000,2020-12-31 13:00:00,XRP/USDT,0.21481000,0.21538000,0.20797000,0.21463000,77062022.20000000,16376232.57804900,35153
1609416000000,2020-12-31 12:00:00,XRP/USDT,0.22061000,0.22435000,0.21111000,0.21488000,90896684.10000000,19922864.50054200,32827
1609412400000,2020-12-31 11:00:00,XRP/USDT,0.22312000,0.22427000,0.21858000,0.22075000,56343473.80000000,12471074.70209800,24634
1609408800000,2020-12-31 10:00:00,XRP/USDT,0.21608000,0.22949000,0.21602000,0.22316000,115811185.80000000,25852729.22590200,49468
1609405200000,2020-12-31 09:00:00,XRP/USDT,0.21550000,0.21675000,0.21330000,0.21605000,39926265.00000000,8590868.07145600,14829
1609401600000,2020-12-31 08:00:00,XRP/USDT,0.21712000,0.21981000,0.21478000,0.21549000,51628089.90000000,11190611.70326700,20650
