https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1601906400000,2020-10-05 14:00:00,ADA/USDT,0.09779000,0.09828000,0.09747000,0.09777000,8541690.90000000,835666.24984700,1737
1601902800000,2020-10-05 13:00:00,ADA/USDT,0.09740000,0.09799000,0.09713000,0.09777000,12713924.90000000,1240649.84390100,2868
1601899200000,2020-10-05 12:00:00,ADA/USDT,0.09636000,0.09756000,0.09592000,0.09740000,8861833.30000000,856560.30869200,2368
1601895600000,2020-10-05 11:00:00,ADA/USDT,0.09716000,0.09742000,0.09628000,0.09636000,7170640.70000000,694553.56424700,1574
1601892000000,2020-10-05 10:00:00,ADA/USDT,0.09730000,0.09745000,0.09663000,0.09714000,8915352.40000000,865127.73923900,2056
1601888400000,2020-10-05 09:00:00,ADA/USDT,0.09729000,0.09778000,0.09702000,0.09734000,5995798.20000000,584058.62514500,1585
1601884800000,2020-10-05 08:00:00,ADA/USDT,0.09792000,0.09827000,0.09725000,0.09725000,4848541.50000000,474367.79216600,1220
1601881200000,2020-10-05 07:00:00,ADA/USDT,0.09783000,0.09859000,0.09738000,0.09791000,7782921.00000000,762963.31448600,2124
1601877600000,2020-10-05 06:00:00,ADA/USDT,0.09818000,0.09819000,0.09713000,0.09785000,12486555.40000000,1218359.16734500,3061
1601874000000,2020-10-05 05:00:00,ADA/USDT,0.09769000,0.09821000,0.09751000,0.09821000,4184499.90000000,409979.57330100,1132
1601870400000,2020-10-05 04:00:00,ADA/USDT,0.09826000,0.09866000,0.09755000,0.09770000,8606267.10000000,845622.15897700,1740
1601866800000,2020-10-05 03:00:00,ADA/USDT,0.09921000,0.09924000,0.09787000,0.09824000,9344369.00000000,918055.28528300,2456
1601863200000,2020-10-05 02:00:00,ADA/USDT,0.09867000,0.09948000,0.09862000,0.09922000,7545658.90000000,747959.11326000,1741
1601859600000,2020-10-05 01:00:00,ADA/USDT,0.09848000,0.09948000,0.09817000,0.09873000,9496485.40000000,938900.39952900,2742
1601856000000,2020-10-05 00:00:00,ADA/USDT,0.09684000,0.09851000,0.09649000,0.09847000,15467482.80000000,1512499.54246700,3425
1601852400000,2020-10-04 23:00:00,ADA/USDT,0.09751000,0.09761000,0.09668000,0.09686000,5713552.50000000,555494.23685600,1331
